episode,source,target
1,IRIDIUM 118,IRIDIUM 144
2,IRIDIUM 118,IRIDIUM 144
3,IRIDIUM 118,IRIDIUM 144
4,IRIDIUM 118,IRIDIUM 144
5,IRIDIUM 118,IRIDIUM 144
6,IRIDIUM 118,IRIDIUM 144
7,IRIDIUM 118,IRIDIUM 144
8,IRIDIUM 118,IRIDIUM 144
9,IRIDIUM 118,IRIDIUM 144
10,IRIDIUM 118,IRIDIUM 144
11,IRIDIUM 118,IRIDIUM 144
12,IRIDIUM 118,IRIDIUM 144
13,IRIDIUM 118,IRIDIUM 144
14,IRIDIUM 118,IRIDIUM 144
15,IRIDIUM 118,IRIDIUM 144
16,IRIDIUM 118,IRIDIUM 144
17,IRIDIUM 118,IRIDIUM 144
18,IRIDIUM 118,IRIDIUM 144
19,IRIDIUM 118,IRIDIUM 144
20,IRIDIUM 118,IRIDIUM 144
21,IRIDIUM 118,IRIDIUM 144
22,IRIDIUM 118,IRIDIUM 144
23,IRIDIUM 118,IRIDIUM 144
24,IRIDIUM 118,IRIDIUM 144
25,IRIDIUM 118,IRIDIUM 144
26,IRIDIUM 118,IRIDIUM 144
27,IRIDIUM 118,IRIDIUM 144
28,IRIDIUM 118,IRIDIUM 144
29,IRIDIUM 118,IRIDIUM 144
30,IRIDIUM 118,IRIDIUM 144
31,IRIDIUM 118,IRIDIUM 144
32,IRIDIUM 118,IRIDIUM 144
33,IRIDIUM 118,IRIDIUM 144
34,IRIDIUM 118,IRIDIUM 144
35,IRIDIUM 118,IRIDIUM 144
36,IRIDIUM 118,IRIDIUM 144
37,IRIDIUM 118,IRIDIUM 144
38,IRIDIUM 118,IRIDIUM 144
39,IRIDIUM 118,IRIDIUM 144
40,IRIDIUM 118,IRIDIUM 144
41,IRIDIUM 118,IRIDIUM 144
42,IRIDIUM 118,IRIDIUM 144
43,IRIDIUM 118,IRIDIUM 144
44,IRIDIUM 118,IRIDIUM 144
45,IRIDIUM 118,IRIDIUM 144
46,IRIDIUM 118,IRIDIUM 144
47,IRIDIUM 118,IRIDIUM 144
48,IRIDIUM 118,IRIDIUM 144
49,IRIDIUM 118,IRIDIUM 144
50,IRIDIUM 118,IRIDIUM 144
51,IRIDIUM 118,IRIDIUM 144
52,IRIDIUM 118,IRIDIUM 144
53,IRIDIUM 118,IRIDIUM 144
54,IRIDIUM 118,IRIDIUM 144
55,IRIDIUM 118,IRIDIUM 144
56,IRIDIUM 118,IRIDIUM 144
57,IRIDIUM 118,IRIDIUM 144
58,IRIDIUM 118,IRIDIUM 144
59,IRIDIUM 118,IRIDIUM 144
60,IRIDIUM 118,IRIDIUM 144
61,IRIDIUM 118,IRIDIUM 144
62,IRIDIUM 118,IRIDIUM 144
63,IRIDIUM 118,IRIDIUM 144
64,IRIDIUM 118,IRIDIUM 144
65,IRIDIUM 118,IRIDIUM 144
66,IRIDIUM 118,IRIDIUM 144
67,IRIDIUM 118,IRIDIUM 144
68,IRIDIUM 118,IRIDIUM 144
69,IRIDIUM 118,IRIDIUM 144
70,IRIDIUM 118,IRIDIUM 144
71,IRIDIUM 118,IRIDIUM 144
72,IRIDIUM 118,IRIDIUM 144
73,IRIDIUM 118,IRIDIUM 144
74,IRIDIUM 118,IRIDIUM 144
75,IRIDIUM 118,IRIDIUM 144
76,IRIDIUM 118,IRIDIUM 144
77,IRIDIUM 118,IRIDIUM 144
78,IRIDIUM 118,IRIDIUM 144
79,IRIDIUM 118,IRIDIUM 144
80,IRIDIUM 118,IRIDIUM 144
81,IRIDIUM 118,IRIDIUM 144
82,IRIDIUM 118,IRIDIUM 144
83,IRIDIUM 118,IRIDIUM 144
84,IRIDIUM 118,IRIDIUM 144
85,IRIDIUM 118,IRIDIUM 144
86,IRIDIUM 118,IRIDIUM 144
87,IRIDIUM 118,IRIDIUM 144
88,IRIDIUM 118,IRIDIUM 144
89,IRIDIUM 118,IRIDIUM 144
90,IRIDIUM 118,IRIDIUM 144
91,IRIDIUM 118,IRIDIUM 144
92,IRIDIUM 118,IRIDIUM 144
93,IRIDIUM 118,IRIDIUM 144
94,IRIDIUM 118,IRIDIUM 144
95,IRIDIUM 118,IRIDIUM 144
96,IRIDIUM 118,IRIDIUM 144
97,IRIDIUM 118,IRIDIUM 144
98,IRIDIUM 118,IRIDIUM 144
99,IRIDIUM 118,IRIDIUM 144
100,IRIDIUM 118,IRIDIUM 144
101,IRIDIUM 118,IRIDIUM 144
102,IRIDIUM 118,IRIDIUM 144
103,IRIDIUM 118,IRIDIUM 144
104,IRIDIUM 118,IRIDIUM 144
105,IRIDIUM 118,IRIDIUM 144
106,IRIDIUM 118,IRIDIUM 144
107,IRIDIUM 118,IRIDIUM 144
108,IRIDIUM 118,IRIDIUM 144
109,IRIDIUM 118,IRIDIUM 144
110,IRIDIUM 118,IRIDIUM 144
111,IRIDIUM 118,IRIDIUM 144
112,IRIDIUM 118,IRIDIUM 144
113,IRIDIUM 118,IRIDIUM 144
114,IRIDIUM 118,IRIDIUM 144
115,IRIDIUM 118,IRIDIUM 144
116,IRIDIUM 118,IRIDIUM 144
117,IRIDIUM 118,IRIDIUM 144
118,IRIDIUM 118,IRIDIUM 144
119,IRIDIUM 118,IRIDIUM 144
120,IRIDIUM 118,IRIDIUM 144
121,IRIDIUM 118,IRIDIUM 144
122,IRIDIUM 118,IRIDIUM 144
123,IRIDIUM 118,IRIDIUM 144
124,IRIDIUM 118,IRIDIUM 144
125,IRIDIUM 118,IRIDIUM 144
126,IRIDIUM 118,IRIDIUM 144
127,IRIDIUM 118,IRIDIUM 144
128,IRIDIUM 118,IRIDIUM 144
129,IRIDIUM 118,IRIDIUM 144
130,IRIDIUM 118,IRIDIUM 144
131,IRIDIUM 118,IRIDIUM 144
132,IRIDIUM 118,IRIDIUM 144
133,IRIDIUM 118,IRIDIUM 144
134,IRIDIUM 118,IRIDIUM 144
135,IRIDIUM 118,IRIDIUM 144
136,IRIDIUM 118,IRIDIUM 144
137,IRIDIUM 118,IRIDIUM 144
138,IRIDIUM 118,IRIDIUM 144
139,IRIDIUM 118,IRIDIUM 144
140,IRIDIUM 118,IRIDIUM 144
141,IRIDIUM 118,IRIDIUM 144
142,IRIDIUM 118,IRIDIUM 144
143,IRIDIUM 118,IRIDIUM 144
144,IRIDIUM 118,IRIDIUM 144
145,IRIDIUM 118,IRIDIUM 144
146,IRIDIUM 118,IRIDIUM 144
147,IRIDIUM 118,IRIDIUM 144
148,IRIDIUM 118,IRIDIUM 144
149,IRIDIUM 118,IRIDIUM 144
150,IRIDIUM 118,IRIDIUM 144
151,IRIDIUM 118,IRIDIUM 144
