episode,source,target
1,IRIDIUM 134,IRIDIUM 172
2,IRIDIUM 134,IRIDIUM 172
3,IRIDIUM 134,IRIDIUM 172
4,IRIDIUM 134,IRIDIUM 172
5,IRIDIUM 134,IRIDIUM 172
6,IRIDIUM 134,IRIDIUM 172
7,IRIDIUM 134,IRIDIUM 172
8,IRIDIUM 134,IRIDIUM 172
9,IRIDIUM 134,IRIDIUM 172
10,IRIDIUM 134,IRIDIUM 172
11,IRIDIUM 134,IRIDIUM 172
12,IRIDIUM 134,IRIDIUM 172
13,IRIDIUM 134,IRIDIUM 172
14,IRIDIUM 134,IRIDIUM 172
15,IRIDIUM 134,IRIDIUM 172
16,IRIDIUM 134,IRIDIUM 172
17,IRIDIUM 134,IRIDIUM 172
18,IRIDIUM 134,IRIDIUM 172
19,IRIDIUM 134,IRIDIUM 172
20,IRIDIUM 134,IRIDIUM 172
21,IRIDIUM 134,IRIDIUM 172
22,IRIDIUM 134,IRIDIUM 172
23,IRIDIUM 134,IRIDIUM 172
24,IRIDIUM 134,IRIDIUM 172
25,IRIDIUM 134,IRIDIUM 172
26,IRIDIUM 134,IRIDIUM 172
27,IRIDIUM 134,IRIDIUM 172
28,IRIDIUM 134,IRIDIUM 172
29,IRIDIUM 134,IRIDIUM 172
30,IRIDIUM 134,IRIDIUM 172
31,IRIDIUM 134,IRIDIUM 172
32,IRIDIUM 134,IRIDIUM 172
33,IRIDIUM 134,IRIDIUM 172
34,IRIDIUM 134,IRIDIUM 172
35,IRIDIUM 134,IRIDIUM 172
36,IRIDIUM 134,IRIDIUM 172
37,IRIDIUM 134,IRIDIUM 172
38,IRIDIUM 134,IRIDIUM 172
39,IRIDIUM 134,IRIDIUM 172
40,IRIDIUM 134,IRIDIUM 172
41,IRIDIUM 134,IRIDIUM 172
42,IRIDIUM 134,IRIDIUM 172
43,IRIDIUM 134,IRIDIUM 172
44,IRIDIUM 134,IRIDIUM 172
45,IRIDIUM 134,IRIDIUM 172
46,IRIDIUM 134,IRIDIUM 172
47,IRIDIUM 134,IRIDIUM 172
48,IRIDIUM 134,IRIDIUM 172
49,IRIDIUM 134,IRIDIUM 172
50,IRIDIUM 134,IRIDIUM 172
51,IRIDIUM 134,IRIDIUM 172
52,IRIDIUM 134,IRIDIUM 172
53,IRIDIUM 134,IRIDIUM 172
54,IRIDIUM 134,IRIDIUM 172
55,IRIDIUM 134,IRIDIUM 172
56,IRIDIUM 134,IRIDIUM 172
57,IRIDIUM 134,IRIDIUM 172
58,IRIDIUM 134,IRIDIUM 172
59,IRIDIUM 134,IRIDIUM 172
60,IRIDIUM 134,IRIDIUM 172
61,IRIDIUM 134,IRIDIUM 172
62,IRIDIUM 134,IRIDIUM 172
63,IRIDIUM 134,IRIDIUM 172
64,IRIDIUM 134,IRIDIUM 172
65,IRIDIUM 134,IRIDIUM 172
66,IRIDIUM 134,IRIDIUM 172
67,IRIDIUM 134,IRIDIUM 172
68,IRIDIUM 134,IRIDIUM 172
69,IRIDIUM 134,IRIDIUM 172
70,IRIDIUM 134,IRIDIUM 172
71,IRIDIUM 134,IRIDIUM 172
72,IRIDIUM 134,IRIDIUM 172
73,IRIDIUM 134,IRIDIUM 172
74,IRIDIUM 134,IRIDIUM 172
75,IRIDIUM 134,IRIDIUM 172
76,IRIDIUM 134,IRIDIUM 172
77,IRIDIUM 134,IRIDIUM 172
78,IRIDIUM 134,IRIDIUM 172
79,IRIDIUM 134,IRIDIUM 172
80,IRIDIUM 134,IRIDIUM 172
81,IRIDIUM 134,IRIDIUM 172
82,IRIDIUM 134,IRIDIUM 172
83,IRIDIUM 134,IRIDIUM 172
84,IRIDIUM 134,IRIDIUM 172
85,IRIDIUM 134,IRIDIUM 172
86,IRIDIUM 134,IRIDIUM 172
87,IRIDIUM 134,IRIDIUM 172
88,IRIDIUM 134,IRIDIUM 172
89,IRIDIUM 134,IRIDIUM 172
90,IRIDIUM 134,IRIDIUM 172
91,IRIDIUM 134,IRIDIUM 172
92,IRIDIUM 134,IRIDIUM 172
93,IRIDIUM 134,IRIDIUM 172
94,IRIDIUM 134,IRIDIUM 172
95,IRIDIUM 134,IRIDIUM 172
96,IRIDIUM 134,IRIDIUM 172
97,IRIDIUM 134,IRIDIUM 172
98,IRIDIUM 134,IRIDIUM 172
99,IRIDIUM 134,IRIDIUM 172
100,IRIDIUM 134,IRIDIUM 172
101,IRIDIUM 134,IRIDIUM 172
102,IRIDIUM 134,IRIDIUM 172
103,IRIDIUM 134,IRIDIUM 172
104,IRIDIUM 134,IRIDIUM 172
105,IRIDIUM 134,IRIDIUM 172
106,IRIDIUM 134,IRIDIUM 172
107,IRIDIUM 134,IRIDIUM 172
108,IRIDIUM 134,IRIDIUM 172
109,IRIDIUM 134,IRIDIUM 172
110,IRIDIUM 134,IRIDIUM 172
111,IRIDIUM 134,IRIDIUM 172
112,IRIDIUM 134,IRIDIUM 172
113,IRIDIUM 134,IRIDIUM 172
114,IRIDIUM 134,IRIDIUM 172
115,IRIDIUM 134,IRIDIUM 172
116,IRIDIUM 134,IRIDIUM 172
117,IRIDIUM 134,IRIDIUM 172
118,IRIDIUM 134,IRIDIUM 172
119,IRIDIUM 134,IRIDIUM 172
120,IRIDIUM 134,IRIDIUM 172
121,IRIDIUM 134,IRIDIUM 172
122,IRIDIUM 134,IRIDIUM 172
123,IRIDIUM 134,IRIDIUM 172
124,IRIDIUM 134,IRIDIUM 172
125,IRIDIUM 134,IRIDIUM 172
126,IRIDIUM 134,IRIDIUM 172
127,IRIDIUM 134,IRIDIUM 172
128,IRIDIUM 134,IRIDIUM 172
129,IRIDIUM 134,IRIDIUM 172
130,IRIDIUM 134,IRIDIUM 172
131,IRIDIUM 134,IRIDIUM 172
132,IRIDIUM 134,IRIDIUM 172
133,IRIDIUM 134,IRIDIUM 172
134,IRIDIUM 134,IRIDIUM 172
135,IRIDIUM 134,IRIDIUM 172
136,IRIDIUM 134,IRIDIUM 172
137,IRIDIUM 134,IRIDIUM 172
138,IRIDIUM 134,IRIDIUM 172
139,IRIDIUM 134,IRIDIUM 172
140,IRIDIUM 134,IRIDIUM 172
141,IRIDIUM 134,IRIDIUM 172
142,IRIDIUM 134,IRIDIUM 172
143,IRIDIUM 134,IRIDIUM 172
144,IRIDIUM 134,IRIDIUM 172
145,IRIDIUM 134,IRIDIUM 172
146,IRIDIUM 134,IRIDIUM 172
147,IRIDIUM 134,IRIDIUM 172
148,IRIDIUM 134,IRIDIUM 172
149,IRIDIUM 134,IRIDIUM 172
150,IRIDIUM 134,IRIDIUM 172
151,IRIDIUM 134,IRIDIUM 172
152,IRIDIUM 134,IRIDIUM 172
153,IRIDIUM 134,IRIDIUM 172
154,IRIDIUM 134,IRIDIUM 172
155,IRIDIUM 134,IRIDIUM 172
156,IRIDIUM 134,IRIDIUM 172
157,IRIDIUM 134,IRIDIUM 172
158,IRIDIUM 134,IRIDIUM 172
159,IRIDIUM 134,IRIDIUM 172
160,IRIDIUM 134,IRIDIUM 172
161,IRIDIUM 134,IRIDIUM 172
162,IRIDIUM 134,IRIDIUM 172
163,IRIDIUM 134,IRIDIUM 172
164,IRIDIUM 134,IRIDIUM 172
165,IRIDIUM 134,IRIDIUM 172
166,IRIDIUM 134,IRIDIUM 172
167,IRIDIUM 134,IRIDIUM 172
168,IRIDIUM 134,IRIDIUM 172
169,IRIDIUM 134,IRIDIUM 172
170,IRIDIUM 134,IRIDIUM 172
171,IRIDIUM 134,IRIDIUM 172
172,IRIDIUM 134,IRIDIUM 172
173,IRIDIUM 134,IRIDIUM 172
174,IRIDIUM 134,IRIDIUM 172
175,IRIDIUM 134,IRIDIUM 172
176,IRIDIUM 134,IRIDIUM 172
177,IRIDIUM 134,IRIDIUM 172
178,IRIDIUM 134,IRIDIUM 172
179,IRIDIUM 134,IRIDIUM 172
180,IRIDIUM 134,IRIDIUM 172
181,IRIDIUM 134,IRIDIUM 172
182,IRIDIUM 134,IRIDIUM 172
183,IRIDIUM 134,IRIDIUM 172
184,IRIDIUM 134,IRIDIUM 172
185,IRIDIUM 134,IRIDIUM 172
186,IRIDIUM 134,IRIDIUM 172
187,IRIDIUM 134,IRIDIUM 172
188,IRIDIUM 134,IRIDIUM 172
189,IRIDIUM 134,IRIDIUM 172
190,IRIDIUM 134,IRIDIUM 172
191,IRIDIUM 134,IRIDIUM 172
192,IRIDIUM 134,IRIDIUM 172
193,IRIDIUM 134,IRIDIUM 172
194,IRIDIUM 134,IRIDIUM 172
195,IRIDIUM 134,IRIDIUM 172
196,IRIDIUM 134,IRIDIUM 172
197,IRIDIUM 134,IRIDIUM 172
198,IRIDIUM 134,IRIDIUM 172
199,IRIDIUM 134,IRIDIUM 172
200,IRIDIUM 134,IRIDIUM 172
201,IRIDIUM 134,IRIDIUM 172
202,IRIDIUM 134,IRIDIUM 172
203,IRIDIUM 134,IRIDIUM 172
204,IRIDIUM 134,IRIDIUM 172
205,IRIDIUM 134,IRIDIUM 172
206,IRIDIUM 134,IRIDIUM 172
207,IRIDIUM 134,IRIDIUM 172
208,IRIDIUM 134,IRIDIUM 172
209,IRIDIUM 134,IRIDIUM 172
210,IRIDIUM 134,IRIDIUM 172
211,IRIDIUM 134,IRIDIUM 172
212,IRIDIUM 134,IRIDIUM 172
213,IRIDIUM 134,IRIDIUM 172
214,IRIDIUM 134,IRIDIUM 172
215,IRIDIUM 134,IRIDIUM 172
216,IRIDIUM 134,IRIDIUM 172
217,IRIDIUM 134,IRIDIUM 172
